title	SECTITLE_END
Multi	SEC_START
-	SEC_CONTENT
Granular	SEC_CONTENT
Sequence	SEC_CONTENT
Encoding	SEC_CONTENT
via	SEC_CONTENT
Dilated	SEC_CONTENT
Compositional	SEC_CONTENT
Units	SEC_CONTENT
for	SEC_CONTENT
Reading	SEC_CONTENT
Comprehension	SEC_END
abstract	SECTITLE_END
Sequence	SEC_START
encoders	SEC_CONTENT
are	SEC_CONTENT
crucial	SEC_CONTENT
components	SEC_CONTENT
in	SEC_CONTENT
many	SEC_CONTENT
neural	SEC_CONTENT
architectures	SEC_CONTENT
for	SEC_CONTENT
learning	SEC_CONTENT
to	SEC_CONTENT
read	SEC_CONTENT
and	SEC_CONTENT
comprehend	SEC_CONTENT
.	SEC_CONTENT
This	SEC_CONTENT
paper	SEC_CONTENT
presents	SEC_CONTENT
anew	SEC_CONTENT
compositional	SEC_CONTENT
encoder	SEC_CONTENT
for	SEC_CONTENT
reading	SEC_CONTENT
comprehension	SEC_CONTENT
(	SEC_CONTENT
RC	SEC_CONTENT
)	SEC_CONTENT
.	SEC_CONTENT
Our	SEC_CONTENT
proposed	SEC_CONTENT
encoder	SEC_CONTENT
is	SEC_CONTENT
not	SEC_CONTENT
only	SEC_CONTENT
aimed	SEC_CONTENT
at	SEC_CONTENT
being	SEC_CONTENT
fast	SEC_CONTENT
but	SEC_CONTENT
also	SEC_CONTENT
expressive	SEC_CONTENT
.	SEC_CONTENT
Specifically	SEC_CONTENT
,	SEC_CONTENT
the	SEC_CONTENT
key	SEC_CONTENT
novelty	SEC_CONTENT
behind	SEC_CONTENT
our	SEC_CONTENT
en	SEC_CONTENT
-	SEC_CONTENT
coder	SEC_CONTENT
is	SEC_CONTENT
that	SEC_CONTENT
it	SEC_CONTENT
explicitly	SEC_CONTENT
models	SEC_CONTENT
across	SEC_CONTENT
multiple	SEC_CONTENT
granularities	SEC_CONTENT
using	SEC_CONTENT
anew	SEC_CONTENT
dilated	SEC_CONTENT
composition	SEC_CONTENT
mechanism	SEC_CONTENT
.	SEC_CONTENT
In	SEC_CONTENT
our	SEC_CONTENT
approach	SEC_CONTENT
,	SEC_CONTENT
gat	SEC_CONTENT
-	SEC_CONTENT
ing	SEC_CONTENT
functions	SEC_CONTENT
are	SEC_CONTENT
learned	SEC_CONTENT
by	SEC_CONTENT
modeling	SEC_CONTENT
relationships	SEC_CONTENT
and	SEC_CONTENT
reasoning	SEC_CONTENT
over	SEC_CONTENT
multi	SEC_CONTENT
-	SEC_CONTENT
granular	SEC_CONTENT
sequence	SEC_CONTENT
information	SEC_CONTENT
,	SEC_CONTENT
enabling	SEC_CONTENT
compositional	task
learning	task
that	SEC_CONTENT
is	SEC_CONTENT
aware	SEC_CONTENT
of	SEC_CONTENT
both	SEC_CONTENT
long	SEC_CONTENT
and	SEC_CONTENT
short	SEC_CONTENT
term	SEC_CONTENT
information	SEC_CONTENT
.	SEC_CONTENT
We	SEC_CONTENT
conduct	SEC_CONTENT
experiments	SEC_CONTENT
on	SEC_CONTENT
three	SEC_CONTENT
RC	SEC_CONTENT
datasets	SEC_CONTENT
,	SEC_CONTENT
showing	SEC_CONTENT
that	SEC_CONTENT
our	SEC_CONTENT
proposed	SEC_CONTENT
encoder	SEC_CONTENT
demonstrates	SEC_CONTENT
very	SEC_CONTENT
promising	SEC_CONTENT
results	SEC_CONTENT
both	SEC_CONTENT
as	SEC_CONTENT
a	SEC_CONTENT
standalone	SEC_CONTENT
encoder	SEC_CONTENT
as	SEC_CONTENT
well	SEC_CONTENT
as	SEC_CONTENT
a	SEC_CONTENT
complementary	SEC_CONTENT
building	SEC_CONTENT
block	SEC_CONTENT
.	SEC_CONTENT
Empirical	SEC_CONTENT
results	SEC_CONTENT
show	SEC_CONTENT
that	SEC_CONTENT
simple	SEC_CONTENT
Bi	SEC_CONTENT
-	SEC_CONTENT
Attentive	SEC_CONTENT
archi	SEC_CONTENT
-	SEC_CONTENT
tectures	SEC_CONTENT
augmented	SEC_CONTENT
with	SEC_CONTENT
our	SEC_CONTENT
proposed	SEC_CONTENT
encoder	SEC_CONTENT
not	SEC_CONTENT
only	SEC_CONTENT
achieves	SEC_CONTENT
state	SEC_CONTENT
-	SEC_CONTENT
of	SEC_CONTENT
-	SEC_CONTENT
the	SEC_CONTENT
-	SEC_CONTENT
art	SEC_CONTENT
/	SEC_CONTENT
highly	SEC_CONTENT
competitive	SEC_CONTENT
results	SEC_CONTENT
but	SEC_CONTENT
is	SEC_CONTENT
also	SEC_CONTENT
considerably	SEC_CONTENT
faster	SEC_CONTENT
than	SEC_CONTENT
other	SEC_CONTENT
published	SEC_CONTENT
works	SEC_CONTENT
.	SEC_END
Introduction	SECTITLE_END
Teaching	SEC_START
machines	SEC_CONTENT
to	SEC_CONTENT
read	SEC_CONTENT
,	SEC_CONTENT
comprehend	SEC_CONTENT
and	SEC_CONTENT
reason	SEC_CONTENT
lives	SEC_CONTENT
at	SEC_CONTENT
the	SEC_CONTENT
heart	SEC_CONTENT
of	SEC_CONTENT
reading	SEC_CONTENT
comprehension	SEC_CONTENT
(	SEC_CONTENT
RC	SEC_CONTENT
)	SEC_CONTENT
tasks	SEC_CONTENT
.	SEC_CONTENT
In	SEC_CONTENT
these	SEC_CONTENT
tasks	SEC_CONTENT
,	SEC_CONTENT
the	SEC_CONTENT
goal	SEC_CONTENT
is	SEC_CONTENT
to	SEC_CONTENT
answer	SEC_CONTENT
questions	task
based	SEC_CONTENT
on	SEC_CONTENT
a	SEC_CONTENT
given	SEC_CONTENT
passage	SEC_CONTENT
,	SEC_CONTENT
effectively	SEC_CONTENT
testing	SEC_CONTENT
the	SEC_CONTENT
learner	SEC_CONTENT
's	SEC_CONTENT
capability	SEC_CONTENT
to	SEC_CONTENT
understand	SEC_CONTENT
natural	SEC_CONTENT
